"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
         1 child , 35 , 75 , 105 , 135 , 200 , 150 , 215 , 70 , 90 , 235 , 85 , 105 , 15 , 185 , 75 , 10 , 20 , 25 , 75 , 70 , 165 , 80 ," 2,220 "," 9,175 "
         2 children , 20 , 20 , 65 , 55 , 120 , 125 , 105 , 15 , 75 , 60 , 35 , 65 , 10 , 100 , 80 , 15 , 10 , 10 , 60 , 20 , 80 , 40 ," 1,170 "," 5,785 "
         3 or more children , 10 , 70 , 30 , -   , 10 , 30 , 45 , 15 , 10 , 35 , 10 , 20 , -   , 35 , 25 , 20 , -   , 20 , 30 , 25 , -   , -   , 435 ," 2,255 "
   Total lone-parent families by sex of parent and number of children , 650 ," 1,085 ", 655 , 895 ," 1,730 "," 1,655 "," 2,180 ", 495 ," 1,465 "," 1,355 "," 1,065 ", 935 , 575 ," 2,475 "," 1,005 ", 290 , 310 , 505 ," 1,500 "," 1,520 ", 875 , 485 ," 23,610 "," 88,115 "
     Female parent , 510 , 900 , 535 , 675 ," 1,380 "," 1,275 "," 1,740 ", 405 ," 1,160 "," 1,150 ", 915 , 700 , 490 ," 2,035 ", 815 , 260 , 260 , 430 ," 1,265 "," 1,280 ", 740 , 410 ," 19,250 "," 71,250 "
       1 child , 355 , 685 , 315 , 575 ," 1,035 ", 690 ," 1,080 ", 290 , 685 , 875 , 570 , 570 , 310 ," 1,225 ", 550 , 115 , 145 , 245 , 760 , 765 , 585 , 280 ," 12,660 "," 43,775 "
       2 children , 130 , 170 , 140 , 105 , 225 , 430 , 535 , 90 , 400 , 220 , 305 , 90 , 140 , 575 , 215 , 110 , 110 , 115 , 385 , 375 , 125 , 95 ," 5,080 "," 20,905 "
       3 or more children , 20 , 45 , 70 , -   , 125 , 160 , 125 , 20 , 80 , 55 , 35 , 35 , 35 , 235 , 50 , 40 , 10 , 75 , 115 , 135 , 35 , 35 ," 1,510 "," 6,565 "
     Male parent , 145 , 190 , 120 , 215 , 350 , 380 , 435 , 95 , 305 , 205 , 150 , 235 , 90 , 435 , 185 , 30 , 45 , 75 , 235 , 245 , 135 , 75 ," 4,355 "," 16,870 "
       1 child , 90 , 140 , 65 , 145 , 255 , 235 , 225 , 75 , 210 , 170 , 95 , 185 , 55 , 300 , 115 , 15 , 35 , 65 , 145 , 155 , 135 , 30 ," 2,940 "," 11,050 "
       2 children , 50 , 45 , 45 , 65 , 60 , 130 , 160 , -   , 60 , 25 , 45 , 50 , 35 , 105 , 55 , -   , 15 , 15 , 70 , 75 , -   , 40 ," 1,145 "," 4,460 "
       3 or more children , -   , -   , -   , -   , 30 , 15 , 55 , 15 , 30 , 10 , 10 , -   , -   , 35 , 20 , 10 , -   , -   , 15 , 10 , -   , -   , 270 ," 1,355 "
Average number of children at home per census family,1.2,0.6,1.3,0.5,0.9,1.2,1.2,1.2,1.2,0.7,1.1,0.8,1.2,1.2,1.1,1.3,1.1,1,1.3,1.3,0.4,1.1,1,1.1
Average number of persons per census family,3,2.5,3.1,2.4,2.6,3,3,3.1,3,2.5,2.9,2.6,3,3,3,3.2,2.9,2.8,3.2,3.1,2.3,3,2.9,3
 Family income in 2005 of economic families ," 4,200 "," 9,810 "," 5,935 "," 7,010 "," 6,625 "," 8,535 "," 11,220 "," 3,870 "," 7,375 "," 9,905 "," 6,005 "," 5,125 "," 3,400 "," 12,455 "," 5,720 "," 2,340 "," 1,820 "," 2,075 "," 8,645 "," 7,415 "," 9,040 "," 3,525 "," 141,695 "," 559,270 "
"   Under $10,000 ", 325 , 740 , 190 , 230 , 285 , 195 , 395 , 215 , 235 , 355 , 405 , 205 , 260 , 575 , 225 , 80 , 65 , 145 , 340 , 330 , 570 , 130 ," 6,490 "," 21,445 "
"   $10,000 to $19,999 ", 330 , 600 , 230 , 205 , 760 , 480 , 635 , 160 , 350 , 415 , 520 , 345 , 255 , 695 , 255 , 55 , 55 , 250 , 440 , 500 , 640 , 140 ," 8,285 "," 26,715 "
"   $20,000 to $29,999 ", 330 , 840 , 225 , 455 , 810 , 870 ," 1,245 ", 305 , 580 , 580 , 590 , 495 , 285 ," 1,345 ", 415 , 95 , 115 , 500 , 855 , 800 , 885 , 120 ," 12,730 "," 41,550 "
"   $30,000 to $39,999 ", 360 , 610 , 265 , 515 , 820 , 940 ," 1,210 ", 275 , 870 , 645 , 700 , 660 , 365 ," 1,345 ", 500 , 95 , 135 , 315 , 945 , 840 , 800 , 185 ," 13,385 "," 48,050 "
"   $40,000 to $49,999 ", 270 , 605 , 305 , 570 , 630 , 950 ," 1,180 ", 215 , 780 , 785 , 610 , 565 , 225 ," 1,390 ", 530 , 110 , 105 , 205 , 945 , 685 , 860 , 185 ," 12,690 "," 48,830 "
"   $50,000 to $59,999 ", 250 , 700 , 360 , 620 , 690 , 815 ," 1,200 ", 260 , 755 , 865 , 490 , 590 , 215 ," 1,250 ", 485 , 125 , 190 , 190 ," 1,010 ", 660 , 970 , 125 ," 12,795 "," 48,620 "
"   $60,000 to $69,999 ", 265 , 575 , 340 , 540 , 630 , 705 , 920 , 250 , 560 , 800 , 440 , 470 , 230 ," 1,005 ", 390 , 115 , 140 , 175 , 835 , 550 , 780 , 165 ," 10,865 "," 45,650 "
"   $70,000 to $79,999 ", 220 , 700 , 345 , 575 , 510 , 665 , 930 , 140 , 530 , 770 , 365 , 445 , 225 , 985 , 455 , 65 , 125 , 35 , 710 , 585 , 720 , 205 ," 10,305 "," 44,110 "
"   $80,000 to $89,999 ", 195 , 660 , 315 , 595 , 315 , 615 , 785 , 145 , 510 , 545 , 315 , 260 , 170 , 860 , 460 , 110 , 80 , 80 , 545 , 400 , 530 , 220 ," 8,695 "," 38,665 "
"   $90,000 to $99,999 ", 120 , 510 , 270 , 350 , 235 , 430 , 500 , 220 , 565 , 635 , 240 , 255 , 90 , 670 , 260 , 90 , 60 , 50 , 400 , 385 , 515 , 185 ," 7,030 "," 33,775 "
"   $100,000 and over "," 1,525 "," 3,265 "," 3,080 "," 2,345 ", 940 ," 1,865 "," 2,195 "," 1,665 "," 1,630 "," 3,505 "," 1,325 ", 825 ," 1,075 "," 2,350 "," 1,750 "," 1,405 ", 740 , 130 ," 1,620 "," 1,680 "," 1,760 "," 1,855 "," 38,420 "," 161,855 "
 Median family income $ ," 68,316 "," 73,197 "," 106,179 "," 75,253 "," 50,090 "," 60,212 "," 57,260 "," 85,634 "," 61,815 "," 76,390 "," 53,955 "," 54,244 "," 63,612 "," 57,278 "," 71,748 "," 133,346 "," 78,097 "," 33,418 "," 57,844 "," 57,925 "," 57,995 "," 107,074 "," 64,007 "," 69,688 "
 Average family income $ ," 113,333 "," 99,033 "," 148,436 "," 91,968 "," 59,750 "," 69,621 "," 66,725 "," 170,522 "," 71,856 "," 100,237 "," 70,703 "," 63,663 "," 96,586 "," 66,354 "," 81,648 "," 355,724 "," 102,227 "," 43,699 "," 66,841 "," 69,271 "," 69,096 "," 155,604 "," 88,971 "," 87,788 "
 Standard error of average family income $ ," 5,432 "," 4,045 "," 4,585 "," 1,990 "," 1,555 "," 1,051 ", 864 ," 12,288 "," 1,155 "," 2,892 "," 1,796 "," 1,284 "," 3,928 ", 825 ," 1,561 "," 52,990 "," 3,876 "," 1,735 "," 1,014 "," 1,214 "," 1,751 "," 8,001 "," 1,098 ", 393 
 Family income in 2005 of couple economic families ," 3,445 "," 8,450 "," 5,210 "," 5,960 "," 4,805 "," 6,785 "," 8,900 "," 3,325 "," 5,810 "," 8,345 "," 4,845 "," 4,000 "," 2,735 "," 9,935 "," 4,620 "," 2,055 "," 1,495 "," 1,520 "," 7,005 "," 5,785 "," 7,810 "," 2,990 "," 115,575 "," 466,460 "
"   Under $10,000 ", 195 , 590 , 115 , 155 , 190 , 115 , 215 , 130 , 150 , 240 , 280 , 105 , 120 , 345 , 140 , 25 , 35 , 100 , 270 , 205 , 485 , 65 ," 4,260 "," 14,200 "
"   $10,000 to $19,999 ", 200 , 450 , 150 , 130 , 315 , 240 , 345 , 125 , 145 , 255 , 335 , 185 , 180 , 360 , 125 , 45 , 45 , 95 , 270 , 245 , 440 , 110 ," 4,785 "," 15,530 "
"   $20,000 to $29,999 ", 295 , 660 , 185 , 305 , 510 , 640 , 925 , 280 , 415 , 380 , 410 , 320 , 215 , 995 , 260 , 65 , 90 , 390 , 645 , 535 , 685 , 75 ," 9,290 "," 30,045 "
"   $30,000 to $39,999 ", 320 , 505 , 190 , 415 , 540 , 705 , 830 , 175 , 630 , 495 , 555 , 470 , 295 ," 1,000 ", 330 , 70 , 100 , 240 , 745 , 615 , 650 , 120 ," 9,990 "," 35,530 "
"   $40,000 to $49,999 ", 210 , 420 , 255 , 430 , 395 , 730 , 940 , 170 , 580 , 610 , 435 , 440 , 200 ," 1,110 ", 410 , 90 , 85 , 165 , 750 , 505 , 725 , 125 ," 9,765 "," 37,785 "
"   $50,000 to $59,999 ", 200 , 645 , 305 , 475 , 560 , 680 , 995 , 225 , 630 , 720 , 420 , 490 , 170 ," 1,000 ", 390 , 100 , 155 , 160 , 780 , 545 , 840 , 105 ," 10,580 "," 39,675 "
"   $60,000 to $69,999 ", 215 , 485 , 290 , 495 , 540 , 570 , 775 , 225 , 420 , 605 , 390 , 390 , 175 , 890 , 330 , 95 , 100 , 125 , 710 , 420 , 645 , 130 ," 9,020 "," 38,175 "
"   $70,000 to $79,999 ", 160 , 595 , 285 , 500 , 440 , 550 , 790 , 120 , 415 , 655 , 310 , 380 , 195 , 850 , 390 , 55 , 85 , 35 , 570 , 490 , 670 , 165 ," 8,685 "," 38,290 "
"   $80,000 to $89,999 ", 175 , 555 , 280 , 520 , 270 , 495 , 640 , 130 , 450 , 485 , 285 , 230 , 110 , 715 , 410 , 95 , 75 , 60 , 495 , 365 , 515 , 190 ," 7,540 "," 34,430 "
"   $90,000 to $99,999 ", 105 , 470 , 235 , 325 , 220 , 400 , 455 , 185 , 470 , 535 , 225 , 215 , 90 , 540 , 215 , 90 , 35 , 40 , 350 , 335 , 460 , 185 ," 6,170 "," 30,705 "
"   $100,000 and over "," 1,375 "," 3,065 "," 2,905 "," 2,205 ", 830 ," 1,660 "," 1,985 "," 1,555 "," 1,500 "," 3,350 "," 1,200 ", 765 , 975 ," 2,130 "," 1,615 "," 1,325 ", 675 , 115 ," 1,415 "," 1,515 "," 1,695 "," 1,725 "," 35,485 "," 152,090 "
 Median family income $ ," 76,641 "," 77,442 "," 115,537 "," 81,311 "," 58,002 "," 63,846 "," 62,619 "," 96,309 "," 68,580 "," 84,664 "," 59,757 "," 58,983 "," 70,348 "," 61,661 "," 77,625 "," 149,677 "," 86,044 "," 35,936 "," 60,492 "," 65,405 "," 61,694 "," 120,967 "," 70,065 "," 75,842 "
 Average family income $ ," 122,225 "," 106,179 "," 157,441 "," 97,056 "," 67,309 "," 73,953 "," 71,181 "," 187,352 "," 77,253 "," 108,080 "," 76,628 "," 69,080 "," 105,006 "," 70,814 "," 88,474 "," 395,249 "," 108,944 "," 45,620 "," 69,174 "," 75,379 "," 72,862 "," 170,592 "," 96,993 "," 94,595 "
 Standard error of average family income $ ," 6,086 "," 4,588 "," 5,160 "," 2,153 "," 2,017 "," 1,203 ", 983 ," 14,094 "," 1,336 "," 3,348 "," 2,099 "," 1,486 "," 4,442 ", 930 ," 1,771 "," 60,626 "," 4,449 "," 1,746 "," 1,096 "," 1,409 "," 1,975 "," 9,130 "," 1,326 ", 461 
 After-tax income in 2005 of economic families ," 4,205 "," 9,810 "," 5,935 "," 7,010 "," 6,625 "," 8,535 "," 11,215 "," 3,865 "," 7,375 "," 9,905 "," 6,005 "," 5,120 "," 3,400 "," 12,455 "," 5,720 "," 2,340 "," 1,820 "," 2,075 "," 8,645 "," 7,420 "," 9,040 "," 3,530 "," 141,695 "," 559,270 "
"   Under $10,000 ", 335 , 770 , 205 , 240 , 285 , 200 , 395 , 225 , 235 , 400 , 410 , 210 , 275 , 580 , 230 , 85 , 75 , 145 , 345 , 335 , 575 , 160 ," 6,695 "," 22,190 "
"   $10,000 to $19,999 ", 370 , 605 , 240 , 210 , 755 , 530 , 650 , 175 , 355 , 450 , 515 , 375 , 260 , 735 , 250 , 50 , 65 , 255 , 455 , 525 , 680 , 150 ," 8,620 "," 27,615 "
"   $20,000 to $29,999 ", 335 , 935 , 250 , 510 , 890 , 960 ," 1,360 ", 330 , 625 , 685 , 670 , 525 , 330 ," 1,445 ", 475 , 125 , 115 , 530 , 925 , 865 , 990 , 135 ," 13,990 "," 45,740 "
"   $30,000 to $39,999 ", 415 , 680 , 335 , 710 , 970 ," 1,065 "," 1,435 ", 295 ," 1,020 ", 770 , 860 , 830 , 385 ," 1,630 ", 590 , 80 , 140 , 325 ," 1,130 ", 935 ," 1,110 ", 210 ," 15,895 "," 59,475 "
"   $40,000 to $49,999 ", 295 , 880 , 430 , 670 , 810 ," 1,075 "," 1,450 ", 320 , 925 ," 1,070 ", 640 , 680 , 260 ," 1,550 ", 665 , 145 , 215 , 240 ," 1,130 ", 810 ," 1,070 ", 220 ," 15,525 "," 60,080 "
"   $50,000 to $59,999 ", 335 , 765 , 405 , 785 , 800 , 960 ," 1,230 ", 345 , 825 ," 1,025 ", 590 , 670 , 275 ," 1,370 ", 535 , 165 , 160 , 200 ," 1,035 ", 695 ," 1,135 ", 150 ," 14,450 "," 59,370 "
"   $60,000 to $69,999 ", 285 , 915 , 460 , 730 , 680 , 820 ," 1,135 ", 175 , 640 , 975 , 475 , 505 , 265 ," 1,190 ", 515 , 95 , 165 , 135 , 945 , 720 , 805 , 260 ," 12,885 "," 55,205 "
"   $70,000 to $79,999 ", 250 , 785 , 390 , 635 , 345 , 760 , 915 , 190 , 775 , 735 , 355 , 385 , 170 ," 1,100 ", 445 , 145 , 145 , 65 , 740 , 505 , 745 , 295 ," 10,855 "," 48,270 "
"   $80,000 and over "," 1,580 "," 3,470 "," 3,225 "," 2,510 "," 1,080 "," 2,165 "," 2,640 "," 1,810 "," 1,980 "," 3,790 "," 1,480 ", 940 ," 1,165 "," 2,850 "," 2,015 "," 1,440 ", 745 , 170 ," 1,940 "," 2,030 "," 1,930 "," 1,945 "," 42,780 "," 181,315 "
 Median after-tax family income $ ," 60,221 "," 62,954 "," 87,862 "," 65,212 "," 45,846 "," 53,752 "," 52,229 "," 73,039 "," 56,136 "," 65,113 "," 47,888 "," 49,223 "," 56,230 "," 51,897 "," 62,255 "," 105,181 "," 67,122 "," 31,731 "," 52,970 "," 53,192 "," 50,764 "," 88,824 "," 56,796 "," 60,885 "
 Average after-tax family income $ ," 87,902 "," 77,515 "," 113,023 "," 75,113 "," 52,189 "," 60,988 "," 58,847 "," 121,742 "," 62,628 "," 78,207 "," 60,383 "," 54,982 "," 76,981 "," 58,688 "," 69,560 "," 250,038 "," 82,054 "," 39,801 "," 59,328 "," 60,968 "," 57,795 "," 118,761 "," 72,636 "," 72,455 "
 Standard error of average after-tax family income $ ," 3,595 "," 2,442 "," 2,913 "," 1,367 "," 1,227 ", 811 , 693 ," 6,269 ", 910 ," 2,018 "," 1,340 ", 984 ," 2,721 ", 672 ," 1,169 "," 35,759 "," 2,770 "," 1,384 ", 823 , 969 ," 1,188 "," 5,640 ", 725 , 260 
 After-tax income in 2005 of couple economic families ," 3,445 "," 8,450 "," 5,210 "," 5,960 "," 4,805 "," 6,785 "," 8,905 "," 3,325 "," 5,810 "," 8,340 "," 4,845 "," 4,000 "," 2,735 "," 9,935 "," 4,620 "," 2,050 "," 1,495 "," 1,520 "," 7,010 "," 5,785 "," 7,810 "," 2,990 "," 115,570 "," 466,460 "
"   Under $10,000 ", 205 , 610 , 125 , 160 , 190 , 120 , 215 , 135 , 150 , 280 , 285 , 105 , 135 , 340 , 145 , 30 , 50 , 100 , 270 , 200 , 485 , 85 ," 4,405 "," 14,825 "
"   $10,000 to $19,999 ", 215 , 455 , 155 , 125 , 315 , 275 , 360 , 135 , 150 , 275 , 335 , 200 , 180 , 370 , 125 , 40 , 55 , 105 , 280 , 250 , 455 , 125 ," 4,985 "," 16,105 "
"   $20,000 to $29,999 ", 300 , 735 , 205 , 345 , 540 , 690 ," 1,005 ", 285 , 425 , 440 , 470 , 360 , 240 ," 1,085 ", 290 , 90 , 80 , 405 , 680 , 590 , 770 , 75 ," 10,100 "," 32,895 "
"   $30,000 to $39,999 ", 375 , 545 , 235 , 555 , 660 , 805 ," 1,025 ", 210 , 750 , 625 , 655 , 605 , 325 ," 1,210 ", 410 , 70 , 110 , 265 , 895 , 695 , 925 , 140 ," 12,070 "," 44,360 "
"   $40,000 to $49,999 ", 240 , 705 , 370 , 520 , 545 , 840 ," 1,145 ", 260 , 725 , 820 , 505 , 555 , 215 ," 1,245 ", 510 , 115 , 170 , 185 , 905 , 605 , 900 , 150 ," 12,215 "," 47,680 "
"   $50,000 to $59,999 ", 255 , 665 , 330 , 680 , 675 , 855 ," 1,015 ", 305 , 655 , 845 , 515 , 545 , 220 ," 1,205 ", 460 , 150 , 120 , 165 , 830 , 575 , 975 , 130 ," 12,175 "," 49,725 "
"   $60,000 to $69,999 ", 220 , 770 , 395 , 605 , 610 , 630 , 985 , 155 , 500 , 830 , 405 , 445 , 220 ," 1,035 ", 455 , 75 , 125 , 95 , 780 , 580 , 750 , 220 ," 10,875 "," 47,890 "
"   $70,000 to $79,999 ", 210 , 670 , 355 , 610 , 300 , 645 , 740 , 170 , 675 , 640 , 330 , 345 , 125 , 895 , 370 , 125 , 110 , 55 , 665 , 460 , 715 , 255 ," 9,445 "," 43,190 "
"   $80,000 and over "," 1,420 "," 3,285 "," 3,035 "," 2,350 ", 970 ," 1,920 "," 2,415 "," 1,665 "," 1,780 "," 3,580 "," 1,345 ", 840 ," 1,065 "," 2,545 "," 1,845 "," 1,355 ", 685 , 145 ," 1,690 "," 1,820 "," 1,830 "," 1,815 "," 39,290 "," 169,790 "
 Median after-tax family income $ ," 65,877 "," 67,012 "," 93,846 "," 69,718 "," 51,591 "," 57,975 "," 56,318 "," 80,240 "," 60,756 "," 70,636 "," 52,894 "," 53,212 "," 61,783 "," 56,152 "," 67,773 "," 118,289 "," 72,052 "," 34,072 "," 54,928 "," 59,619 "," 53,335 "," 97,766 "," 61,626 "," 65,843 "
 Average after-tax family income $ ," 94,428 "," 82,604 "," 119,549 "," 79,165 "," 58,254 "," 64,445 "," 62,623 "," 132,315 "," 67,095 "," 83,589 "," 64,988 "," 59,180 "," 83,355 "," 62,424 "," 74,956 "," 276,045 "," 86,682 "," 41,758 "," 61,418 "," 66,097 "," 60,662 "," 129,170 "," 78,523 "," 77,558 "
 Standard error of average after-tax family income $ ," 4,031 "," 2,743 "," 3,258 "," 1,482 "," 1,584 ", 914 , 784 ," 7,148 "," 1,045 "," 2,333 "," 1,551 "," 1,121 "," 3,064 ", 750 ," 1,315 "," 40,914 "," 3,183 "," 1,509 ", 892 ," 1,116 "," 1,333 "," 6,417 ", 873 , 303 
 Family income in 2005 of all economic families ," 4,205 "," 9,810 "," 5,935 "," 7,010 "," 6,625 "," 8,535 "," 11,215 "," 3,870 "," 7,375 "," 9,905 "," 6,005 "," 5,120 "," 3,400 "," 12,455 "," 5,720 "," 2,340 "," 1,820 "," 2,075 "," 8,645 "," 7,420 "," 9,040 "," 3,530 "," 141,695 "," 559,265 "
   Median family income $ ," 68,316 "," 73,197 "," 106,179 "," 75,253 "," 50,090 "," 60,212 "," 57,260 "," 85,634 "," 61,815 "," 76,390 "," 53,955 "," 54,244 "," 63,612 "," 57,278 "," 71,748 "," 133,346 "," 78,097 "," 33,418 "," 57,844 "," 57,925 "," 57,995 "," 107,074 "," 64,007 "," 69,688 "
   Average family income $ ," 113,333 "," 99,033 "," 148,436 "," 91,968 "," 59,750 "," 69,621 "," 66,725 "," 170,522 "," 71,856 "," 100,237 "," 70,703 "," 63,663 "," 96,586 "," 66,354 "," 81,648 "," 355,724 "," 102,227 "," 43,699 "," 66,841 "," 69,271 "," 69,096 "," 155,604 "," 88,971 "," 87,788 "
   Standard error of average family income $ ," 5,432 "," 4,045 "," 4,585 "," 1,990 "," 1,555 "," 1,051 ", 864 ," 12,288 "," 1,155 "," 2,892 "," 1,796 "," 1,284 "," 3,928 ", 825 ," 1,561 "," 52,990 "," 3,876 "," 1,735 "," 1,014 "," 1,214 "," 1,751 "," 8,001 "," 1,098 ", 393 
   Median after-tax family income $ ," 60,221 "," 62,954 "," 87,862 "," 65,212 "," 45,846 "," 53,752 "," 52,229 "," 73,039 "," 56,136 "," 65,113 "," 47,888 "," 49,223 "," 56,230 "," 51,897 "," 62,255 "," 105,181 "," 67,122 "," 31,731 "," 52,970 "," 53,192 "," 50,764 "," 88,824 "," 56,796 "," 60,885 "
   Average after-tax family income $ ," 87,902 "," 77,515 "," 113,023 "," 75,113 "," 52,189 "," 60,988 "," 58,847 "," 121,742 "," 62,628 "," 78,207 "," 60,383 "," 54,982 "," 76,981 "," 58,688 "," 69,560 "," 250,038 "," 82,054 "," 39,801 "," 59,328 "," 60,968 "," 57,795 "," 118,761 "," 72,636 "," 72,455 "
   Standard error of average after-tax family income $ ," 3,595 "," 2,442 "," 2,913 "," 1,367 "," 1,227 ", 811 , 693 ," 6,269 ", 910 ," 2,018 "," 1,340 ", 984 ," 2,721 ", 672 ," 1,169 "," 35,759 "," 2,770 "," 1,384 ", 823 , 969 ," 1,188 "," 5,640 ", 725 , 260 
 Family income in 2005 of couple economic families ," 3,450 "," 8,445 "," 5,210 "," 5,960 "," 4,805 "," 6,790 "," 8,905 "," 3,325 "," 5,810 "," 8,340 "," 4,845 "," 4,000 "," 2,740 "," 9,935 "," 4,620 "," 2,050 "," 1,500 "," 1,520 "," 7,005 "," 5,785 "," 7,810 "," 2,990 "," 115,575 "," 466,460 "
   Median family income $ ," 76,641 "," 77,442 "," 115,537 "," 81,311 "," 58,002 "," 63,846 "," 62,619 "," 96,309 "," 68,580 "," 84,664 "," 59,757 "," 58,983 "," 70,348 "," 61,661 "," 77,625 "," 149,677 "," 86,044 "," 35,936 "," 60,492 "," 65,405 "," 61,694 "," 120,967 "," 70,065 "," 75,842 "
   Average family income $ ," 122,225 "," 106,179 "," 157,441 "," 97,056 "," 67,309 "," 73,953 "," 71,181 "," 187,352 "," 77,253 "," 108,080 "," 76,628 "," 69,080 "," 105,006 "," 70,814 "," 88,474 "," 395,249 "," 108,944 "," 45,620 "," 69,174 "," 75,379 "," 72,862 "," 170,592 "," 96,993 "," 94,595 "
   Standard error of average family income $ ," 6,086 "," 4,588 "," 5,160 "," 2,153 "," 2,017 "," 1,203 ", 983 ," 14,094 "," 1,336 "," 3,348 "," 2,099 "," 1,486 "," 4,442 ", 930 ," 1,771 "," 60,626 "," 4,449 "," 1,746 "," 1,096 "," 1,409 "," 1,975 "," 9,130 "," 1,326 ", 461 
   Median after-tax family income $ ," 65,877 "," 67,012 "," 93,846 "," 69,718 "," 51,591 "," 57,975 "," 56,318 "," 80,240 "," 60,756 "," 70,636 "," 52,894 "," 53,212 "," 61,783 "," 56,152 "," 67,773 "," 118,289 "," 72,052 "," 34,072 "," 54,928 "," 59,619 "," 53,335 "," 97,766 "," 61,626 "," 65,843 "
   Average after-tax family income $ ," 94,428 "," 82,604 "," 119,549 "," 79,165 "," 58,254 "," 64,445 "," 62,623 "," 132,315 "," 67,095 "," 83,589 "," 64,988 "," 59,180 "," 83,355 "," 62,424 "," 74,956 "," 276,045 "," 86,682 "," 41,758 "," 61,418 "," 66,097 "," 60,662 "," 129,170 "," 78,523 "," 77,558 "
   Standard error of average after-tax family income $ ," 4,031 "," 2,743 "," 3,258 "," 1,482 "," 1,584 ", 914 , 784 ," 7,148 "," 1,045 "," 2,333 "," 1,551 "," 1,121 "," 3,064 ", 750 ," 1,315 "," 40,914 "," 3,183 "," 1,509 ", 892 ," 1,116 "," 1,333 "," 6,417 ", 873 , 303 
 Family income in 2005 of male lone-parent economic families , 140 , 170 , 100 , 215 , 295 , 295 , 360 , 75 , 275 , 195 , 115 , 235 , 85 , 320 , 155 , 30 , 35 , 75 , 195 , 175 , 130 , 75 ," 3,740 "," 14,510 "
   Median family income $ ," 75,314 "," 43,469 "," 85,179 "," 52,149 "," 37,184 "," 52,311 "," 39,688 "," 88,330 "," 43,736 "," 60,040 "," 28,108 "," 37,674 "," 84,750 "," 57,090 "," 57,277 "," 117,156 "," 57,588 "," 19,869 "," 51,343 "," 23,707 "," 59,222 "," 65,247 "," 49,052 "," 56,443 "
   Average family income $ ," 104,839 "," 59,467 "," 161,395 "," 97,006 "," 50,188 "," 63,025 "," 56,336 "," 87,271 "," 50,589 "," 71,822 "," 41,240 "," 41,326 "," 128,481 "," 59,919 "," 59,745 "," 180,597 "," 59,816 "," 28,230 "," 58,511 "," 44,315 "," 67,812 "," 115,599 "," 66,691 "," 69,642 "
   Standard error of average family income $ ," 32,230 "," 9,985 "," 35,364 "," 21,465 "," 6,637 "," 5,855 "," 4,600 "," 15,812 "," 4,236 "," 10,353 "," 5,418 "," 3,440 "," 48,681 "," 3,887 "," 5,330 "," 65,623 "," 4,395 "," 4,600 "," 4,790 "," 6,037 "," 9,393 "," 27,885 "," 2,881 "," 1,407 "
   Median after-tax family income $ ," 67,634 "," 40,792 "," 69,009 "," 48,194 "," 35,429 "," 51,094 "," 36,616 "," 76,941 "," 40,551 "," 50,638 "," 24,396 "," 34,858 "," 75,613 "," 49,333 "," 51,901 "," 95,652 "," 49,915 "," 19,869 "," 45,025 "," 23,589 "," 49,730 "," 62,431 "," 43,714 "," 49,399 "
   Average after-tax family income $ ," 69,688 "," 51,012 "," 121,198 "," 72,641 "," 44,004 "," 56,133 "," 49,639 "," 73,078 "," 45,049 "," 59,381 "," 37,815 "," 37,438 "," 94,513 "," 53,395 "," 53,110 "," 154,743 "," 53,887 "," 26,225 "," 52,479 "," 40,476 "," 55,254 "," 103,452 "," 56,092 "," 58,138 "
   Standard error of average after-tax family income $ ," 13,375 "," 8,050 "," 24,927 "," 13,049 "," 5,432 "," 5,057 "," 3,654 "," 12,622 "," 3,502 "," 7,280 "," 4,854 "," 2,841 "," 29,696 "," 3,343 "," 4,610 "," 55,818 "," 3,257 "," 3,777 "," 4,130 "," 5,202 "," 6,450 "," 26,140 "," 1,976 ", 979 
 Family income in 2005 of female lone-parent economic families , 490 , 875 , 500 , 675 ," 1,275 "," 1,135 "," 1,545 ", 355 ," 1,075 "," 1,095 ", 865 , 645 , 445 ," 1,740 ", 730 , 240 , 245 , 405 ," 1,050 "," 1,165 ", 715 , 405 ," 17,615 "," 64,505 "
   Median family income $ ," 40,236 "," 45,264 "," 50,639 "," 42,700 "," 29,568 "," 40,548 "," 36,107 "," 47,977 "," 41,505 "," 49,010 "," 37,073 "," 34,001 "," 33,381 "," 35,538 "," 37,874 "," 54,381 "," 62,721 "," 24,007 "," 39,280 "," 37,353 "," 32,497 "," 53,436 "," 37,939 "," 39,573 "
